created_at,id,author,content
2024-06-12 08:57:31.679000+00:00,1250373409666240596,Community Updates,"## <:shapes:1184226211199733892> More Apps in More Places <:shapes:1184226211199733892>

Hey Admins and Mods! Starting June 18, you might notice members of your server bringing new fun, games, and functionality to your space with apps.

We launched a new feature that allows anyone to add apps to their own account, and use them across all of their servers, DMs, and GDMs.

Check out our [Help Center article](<https://support.discord.com/hc/articles/23957313048343>) to learn about how you can effectively moderate apps in your server, including:

- What these apps can (and can’t) do
- How to set up our new “**Use External Apps”** permission, available now
- How we leveled up AutoMod to keep your server safe

Wanna spend some time tinkering? Follow our [guide to building your own app](<https://discord.com/developers/docs/tutorials/developing-a-user-installable-app>)!

Stay awesome,
The Discord Team"
2024-05-14 10:55:51.353000+00:00,1239893939755155539,Community Updates,"##
👀  What's that tag?

Hey Admins and Mods! Starting May 15, it's possible you might notice something new next to some of your members' usernames: ✨ **Guild Tags **✨

See a cute little tag next to a member's username or profile? That's a **Guild Tag**, which indicates someone's membership to a chosen Guild. You can click on this tag to see the Guild profile, and even apply for membership there as well. What this means for you, beloved Admins and Mods, is that if your server's AutoMod is on, it will also check for Guild Tags ☑️ 

**What's a Guild?** It's a small, exclusive server that members can apply to join. These servers are tight-knit communities where members can relish in shared identities, hobbies, play styles, and more! 
> Please note that Guilds are only available to a small number of servers at this time, so not every server has access to this experiment. Additionally, our support team cannot manually add servers to this experiment.

Much love,
The Discord Team"
2024-05-05 04:50:27.708000+00:00,1236540494532706414,lil.sahil,
2024-05-05 04:49:58.654000+00:00,1236540372671528971,lil.sahil,"joshisj@gapps.student.unimelb.edu.au
sahil.joshi@gapps.student.unimelb.edu.au"
2024-05-05 04:49:35.249000+00:00,1236540274503585873,lil.sahil,sahil.joshi@student.unimelb.edu.au
2024-05-05 04:49:30.783000+00:00,1236540255772086403,lil.sahil,joshisj@student.unimelb.edu.au
2024-05-05 04:49:06.336000+00:00,1236540153233805322,soahamamam,
2024-05-05 04:48:25.163000+00:00,1236539980541726732,lil.sahil,
2024-05-05 04:47:43.054000+00:00,1236539803923779615,lil.sahil,
2024-05-05 04:45:56.302000+00:00,1236539356173434890,lil.sahil,<@759645006914256926> <@426419121362829322>
2024-03-24 12:50:41.844000+00:00,1221441059423256577,lil.sahil,Thank you boss
2024-03-24 12:03:53.644000+00:00,1221429280979030068,realify,awesome work
2024-03-24 11:26:04.168000+00:00,1221419762106499134,lil.sahil,Yes
2024-03-24 11:16:59.591000+00:00,1221417477985275986,realify,Is it just that 1 file
2024-03-24 09:15:39.902000+00:00,1221386944756584498,lil.sahil,and this file
2024-03-24 09:13:52.504000+00:00,1221386494296588419,lil.sahil,
2024-03-24 09:05:33.146000+00:00,1221384399837462568,lil.sahil,It uses node.js
2024-03-24 09:05:24.424000+00:00,1221384363254480968,lil.sahil,Let me see if I can get it work here
2024-03-24 09:05:06.661000+00:00,1221384288751063183,lil.sahil,Did u want the source code?
2024-03-24 09:04:19.539000+00:00,1221384091107201074,lil.sahil,"Sorry for the late reply, was out today"
2024-03-24 09:04:05.221000+00:00,1221384031053283358,lil.sahil,"It’s on rep-lit at the moment, which means it only works for 15min once I press run code"
2024-03-24 09:03:41.014000+00:00,1221383929521766491,lil.sahil,I tried inviting it to this server but the link took forever to load lol
2024-03-24 09:03:12.015000+00:00,1221383807890882620,lil.sahil,Yes I made it
2024-03-24 09:03:07.673000+00:00,1221383789679214624,lil.sahil,Js
2024-03-24 03:19:23.888000+00:00,1221297287255294042,michael.ren,<@1210792054284623914> is it in python or js? we can deploy to both AWS lambda or Vercel for free
2024-03-24 03:17:50.995000+00:00,1221296897634078830,michael.ren,🎉
2024-03-24 03:12:45.493000+00:00,1221295616265814067,realify,gg
2024-03-24 03:12:45.174000+00:00,1221295614927835177,realify,i think he did make it
2024-03-24 02:56:40.557000+00:00,1221291569030627470,michael.ren,wait <@1210792054284623914> did you make this??
2024-03-24 02:51:40.048000+00:00,1221290308604792944,michael.ren,"We re gonna build and deploy a test bot, and then add verification"
2024-03-24 02:51:16.967000+00:00,1221290211795927131,th_rt_en,updates?
2024-03-24 02:51:09.190000+00:00,1221290179176960020,th_rt_en,yuh
2024-03-24 02:50:42.993000+00:00,1221290069298643014,michael.ren,we literally just finished IT meeting
2024-03-24 02:49:51.930000+00:00,1221289855125033062,th_rt_en,<@1210792054284623914>
2024-03-24 02:49:17.776000+00:00,1221289711872512060,michael.ren,What is this bot called
2024-03-24 02:24:58.311000+00:00,1221283590432624660,th_rt_en,<@1138969490432991232> have you read the above ^
2024-03-23 23:05:18.411000+00:00,1221233343090130974,rejl.,oooo
2024-03-23 16:57:00.858000+00:00,1221140659235324005,lil.sahil,"We can add more functionality, just need to figure out which free method is best to host this bot 24/7"
2024-03-23 16:39:46.707000+00:00,1221136321691648092,lil.sahil,"If they fail 3 times, it send them a link to the UMSU club sign up"
